sku,mpn,_type,_attribute_set,_category,_root_category,status,is_purchaseable,manufacturer,brand,suppliers,name,description,short_description,map,price,_group_price_website,_group_price_customer_group,_group_price_price,donation_cost,donation_percent,tax_class_id,_product_websites
Andis-Bundle-1,Andis-Bundle-1,simple,Pet,Brands/Andis,Default Category,1,Yes,Andis Co,Andis Co,Direct,"Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360) + Andis Aluminum Grooming Case with Wheels","This Bundle Contains: 1 Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360) + 1 Andis Aluminum Grooming Case with Wheels<br><b>Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360)</b><br>A powerful, rotary motor clipper for complete animal grooming. Variable 5-Speed clipping - use lower speeds for cooler running and clipping around sensitive areas and higher speeds for a prettier coat finish. Soft-grip anti-slip housing for comfort and safety. Detachable blades for easy changing and cleaning. CeramicEdge blade runs cooler and lasts longer.<br><br><b>Andis Aluminum Grooming Case with Wheels</b><br>Durable wheeled aluminum case for the groomer on the go. Telescoping handle. Large compartment for clippers and bigger items. 2 extendable trays and slide out drawer and 12 pouches for brushes, combs and shears. Keyed lock design for added security.<br>","This Bundle Contains: 1 Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360) + 1 Andis Aluminum Grooming Case with Wheels",372.66,372.66,all,1,354.03,18.63,5%,2,land_of_the_free
Andis-Bundle-2,Andis-Bundle-2 -Tile,simple,Pet,Brands/Andis,Default Category,1,Yes,Andis Co,Andis Co,Direct,"Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360) + Andis Aluminum Grooming Case with Wheels + Tile Pro (2020) - 1 Pack","This Bundle Contains: 1 Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360) + 1 Andis Aluminum Grooming Case with Wheels + 1 Tile Pro (2020) - 1 Pack<br><b>Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360)</b><br>A powerful, rotary motor clipper for complete animal grooming. Variable 5-Speed clipping - use lower speeds for cooler running and clipping around sensitive areas and higher speeds for a prettier coat finish. Soft-grip anti-slip housing for comfort and safety. Detachable blades for easy changing and cleaning. CeramicEdge blade runs cooler and lasts longer.<br><br><b>Andis Aluminum Grooming Case with Wheels</b><br>Durable wheeled aluminum case for the groomer on the go. Telescoping handle. Large compartment for clippers and bigger items. 2 extendable trays and slide out drawer and 12 pouches for brushes, combs and shears. Keyed lock design for added security.<br><br><b>Tile Pro (2020) - 1 Pack</b><br>The updated Tile Pro is our most powerful and durable Bluetooth tracker, made for finding all your things. The polished Pro has a 400 ft Bluetooth range and the loudest ring, making it easier than ever to keep valuables -- like high-end gadgets, designer bags, and outdoor gear -- findable and safe.<br>","This Bundle Contains: 1 Andis Excel Pro-Animal 5-Speed Detachable Blade Clipper Kit - Professional Pet Grooming, Burgundy, SMC (65360) + 1 Andis Aluminum Grooming Case with Wheels + 1 Tile Pro (2020) - 1 Pack",407.65,407.65,all,1,387.27,20.38,5%,2,land_of_the_free
DogtraBundle-1,DogtraBundle-1,,,,,,,,,,"Dogtra iQ MINI Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Black","This Bundle Contains: 1 Dogtra iQ MINI Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Black<br><b></b><br>The Dogtra IQ Mini is a powerful remote trainer designed for dogs up to 7 pounds. This 100% waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. It offers the lightest and smallest receiver, weighing at 1.3 ounces, with ergonomically designed plastic contact points.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Black</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-2,DogtraBundle-2,,,,,,,,,,"Dogtra iQ MINI Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Orange","This Bundle Contains: 1 Dogtra iQ MINI Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Orange<br><b></b><br>The Dogtra IQ Mini is a powerful remote trainer designed for dogs up to 7 pounds. This 100% waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. It offers the lightest and smallest receiver, weighing at 1.3 ounces, with ergonomically designed plastic contact points.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Orange</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-3,DogtraBundle-3,,,,,,,,,,"Dogtra iQ MINI Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Blue","This Bundle Contains: 1 Dogtra iQ MINI Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Blue<br><b></b><br>The Dogtra IQ Mini is a powerful remote trainer designed for dogs up to 7 pounds. This 100% waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. It offers the lightest and smallest receiver, weighing at 1.3 ounces, with ergonomically designed plastic contact points.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Blue</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-4,DogtraBundle-4,,,,,,,,,,"Dogtra iQ MINI Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Green","This Bundle Contains: 1 Dogtra iQ MINI Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Green<br><b></b><br>The Dogtra IQ Mini is a powerful remote trainer designed for dogs up to 7 pounds. This 100% waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. It offers the lightest and smallest receiver, weighing at 1.3 ounces, with ergonomically designed plastic contact points.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Green</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-5,DogtraBundle-5,,,,,,,,,,Dogtra iQ MINI Remote Trainer Bundle With Dogtra BC5AUTO Auto Charger,"This Bundle Contains: 1 Dogtra iQ MINI Remote Trainer + 1 Dogtra BC5AUTO Auto Charger<br><b></b><br>The Dogtra IQ Mini is a powerful remote trainer designed for dogs up to 7 pounds. This 100% waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. It offers the lightest and smallest receiver, weighing at 1.3 ounces, with ergonomically designed plastic contact points.<br><br><b>Dogtra BC5AUTO Auto Charger</b><br>The Dogtra BC5AUTO is a 5 Volt battery charger for lithium-polymer batteries. It works with 200C, 280C, EF-3000 Gold receiver iQ Series dog training collars.<br>",,209.98,209.98,,,,,,,
DogtraBundle-6,DogtraBundle-6,,,,,,,,,,"Dogtra iQ-Plus Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Black","This Bundle Contains: 1 Dogtra iQ-Plus Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Black<br><b>Dogtra iQ-Plus Remote Trainer</b><br>The Dogtra iQ-Plus is a powerful pet training designed for small to medium sized dogs. This waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. In addition to these great features, the Dogtra iQ-Plus e-collar is built for dogs over 10 pounds and is a terrific choice for dogs with mild temperaments. The iQ Plus is a fully expandable training system, allowing you to train 2 dogs using one handheld remote.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Black</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-7,DogtraBundle-7,,,,,,,,,,"Dogtra iQ-Plus Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Orange","This Bundle Contains: 1 Dogtra iQ-Plus Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Orange<br><b>Dogtra iQ-Plus Remote Trainer</b><br>The Dogtra iQ-Plus is a powerful pet training designed for small to medium sized dogs. This waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. In addition to these great features, the Dogtra iQ-Plus e-collar is built for dogs over 10 pounds and is a terrific choice for dogs with mild temperaments. The iQ Plus is a fully expandable training system, allowing you to train 2 dogs using one handheld remote.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Orange</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-8,DogtraBundle-8,,,,,,,,,,"Dogtra iQ-Plus Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Blue","This Bundle Contains: 1 Dogtra iQ-Plus Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Blue<br><b>Dogtra iQ-Plus Remote Trainer</b><br>The Dogtra iQ-Plus is a powerful pet training designed for small to medium sized dogs. This waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. In addition to these great features, the Dogtra iQ-Plus e-collar is built for dogs over 10 pounds and is a terrific choice for dogs with mild temperaments. The iQ Plus is a fully expandable training system, allowing you to train 2 dogs using one handheld remote.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Blue</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-9,DogtraBundle-9,,,,,,,,,,"Dogtra iQ-Plus Remote Trainer Bundle With Dogtra 3/4"" x 28"" Collar Strap - Green","This Bundle Contains: 1 Dogtra iQ-Plus Remote Trainer + 1 Dogtra 3/4"" x 28"" Collar Strap - Green<br><b>Dogtra iQ-Plus Remote Trainer</b><br>The Dogtra iQ-Plus is a powerful pet training designed for small to medium sized dogs. This waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. In addition to these great features, the Dogtra iQ-Plus e-collar is built for dogs over 10 pounds and is a terrific choice for dogs with mild temperaments. The iQ Plus is a fully expandable training system, allowing you to train 2 dogs using one handheld remote.<br><br><b>Dogtra 3/4"" x 28"" Collar Strap - Green</b><br> Technical Features for Dogtra 3/4"" x 28"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,189.98,189.98,,,,,,,
DogtraBundle-10,DogtraBundle-10,,,,,,,,,,Dogtra iQ-Plus Remote Trainer Bundle With Dogtra BC5AUTO Auto Charger,"This Bundle Contains: 1 Dogtra iQ-Plus Remote Trainer + 1 Dogtra BC5AUTO Auto Charger<br><b>Dogtra iQ-Plus Remote Trainer</b><br>The Dogtra iQ-Plus is a powerful pet training designed for small to medium sized dogs. This waterproof collar features a 400-yard range and three different stimulation types--Nick, Constant, and non-stimulating pager/vibration. In addition to these great features, the Dogtra iQ-Plus e-collar is built for dogs over 10 pounds and is a terrific choice for dogs with mild temperaments. The iQ Plus is a fully expandable training system, allowing you to train 2 dogs using one handheld remote.<br><br><b>Dogtra BC5AUTO Auto Charger</b><br>The Dogtra BC5AUTO is a 5 Volt battery charger for lithium-polymer batteries. It works with 200C, 280C, EF-3000 Gold receiver iQ Series dog training collars.<br>",,209.98,209.98,,,,,,,
DogtraBundle-11,DogtraBundle-11,,,,,,,,,,Dogtra iQ CLiQ Remote Trainer Bundle With Dogtra BC5AUTO Auto Charger,"This Bundle Contains: 1 Dogtra iQ CLiQ Remote Trainer + 1 Dogtra BC5AUTO Auto Charger<br><b>Dogtra iQ CLiQ Remote Trainer</b><br>The Dogtra iQ CLiQ is a combination of two dog training methods, the e-collar and the clicker. The e-collar is waterproof (IPX7) and has conductive plastic contact points, designed to suit the dog's skin. The contact points are perfect solution for dogs with sensitive skin or allergy to steel contacts. The iQ CLiQ has a handheld transmitter with a built-in clicker and nick/ pulsating nick stimulation buttons. The system is expandable to a 2-dog system and has a 100 yard range.<br><br><b>Dogtra BC5AUTO Auto Charger</b><br>The Dogtra BC5AUTO is a 5 Volt battery charger for lithium-polymer batteries. It works with 200C, 280C, EF-3000 Gold receiver iQ Series dog training collars.<br>",,149.98,149.98,,,,,,,
DogtraBundle-12,DogtraBundle-12,,,,,,,,,,Dogtra 1900S Remote Trainer Bundle With Dogtra Auto Charger BC10AUTO Car Charger,"This Bundle Contains: 1 Dogtra 1900S Remote Trainer + 1 Dogtra Auto Charger BC10AUTO Car Charger<br><b>Dogtra 1900S Remote Trainer</b><br>The Dogtra 1900S dog system has a 100% waterproof collar features a 3/4 mile range along with Nick and Constant stimulations. It also offers non-stimulating high performance pager. This dog system has water excelling enhanced contact points with 2-hour quick charge. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra Auto Charger BC10AUTO Car Charger</b><br>The Dogtra BC10 Auto is a replacement battery charger for 1902S, 2300, 2500T&B, 3500 series dog training collars.<br>",,269.98,269.98,,,,,,,
DogtraBundle-13,DogtraBundle-13,,,,,,,,,,"Dogtra 1900S Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Black","This Bundle Contains: 1 Dogtra 1900S Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Black<br><b>Dogtra 1900S Remote Trainer</b><br>The Dogtra 1900S dog system has a 100% waterproof collar features a 3/4 mile range along with Nick and Constant stimulations. It also offers non-stimulating high performance pager. This dog system has water excelling enhanced contact points with 2-hour quick charge. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Black</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,249.98,249.98,,,,,,,
DogtraBundle-14,DogtraBundle-14,,,,,,,,,,"Dogtra 1900S Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Orange","This Bundle Contains: 1 Dogtra 1900S Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Orange<br><b>Dogtra 1900S Remote Trainer</b><br>The Dogtra 1900S dog system has a 100% waterproof collar features a 3/4 mile range along with Nick and Constant stimulations. It also offers non-stimulating high performance pager. This dog system has water excelling enhanced contact points with 2-hour quick charge. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Orange</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,249.98,249.98,,,,,,,
DogtraBundle-15,DogtraBundle-15,,,,,,,,,,"Dogtra 1900S Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Blue","This Bundle Contains: 1 Dogtra 1900S Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Blue<br><b>Dogtra 1900S Remote Trainer</b><br>The Dogtra 1900S dog system has a 100% waterproof collar features a 3/4 mile range along with Nick and Constant stimulations. It also offers non-stimulating high performance pager. This dog system has water excelling enhanced contact points with 2-hour quick charge. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Blue</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,249.98,249.98,,,,,,,
DogtraBundle-16,DogtraBundle-16,,,,,,,,,,"Dogtra 1900S Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Green","This Bundle Contains: 1 Dogtra 1900S Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Green<br><b>Dogtra 1900S Remote Trainer</b><br>The Dogtra 1900S dog system has a 100% waterproof collar features a 3/4 mile range along with Nick and Constant stimulations. It also offers non-stimulating high performance pager. This dog system has water excelling enhanced contact points with 2-hour quick charge. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Green</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,249.98,249.98,,,,,,,
DogtraBundle-17,DogtraBundle-17,,,,,,,,,,Dogtra 1900S Wetlands Remote Trainer Bundle With Dogtra Auto Charger BC10AUTO Car Charger,"This Bundle Contains: 1 Dogtra 1900S Wetlands Remote Trainer + 1 Dogtra Auto Charger BC10AUTO Car Charger<br><b>Dogtra 1900S Wetlands Remote Trainer</b><br>The Dogtra 1900S - Wetlands dog system has a 100% waterproof collar features a 3/4 mile range with high output stimulation in 1-127 levels, coated in ideal camouflaged pattern for wetland hunting. This dog system has Low to High Power Stimulation and enhanced contact points with 2-hour rapid charge batteries. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra Auto Charger BC10AUTO Car Charger</b><br>The Dogtra BC10 Auto is a replacement battery charger for 1902S, 2300, 2500T&B, 3500 series dog training collars.<br>",,279.98,279.98,,,,,,,
DogtraBundle-18,DogtraBundle-18,,,,,,,,,,"Dogtra 1900S Wetlands Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Black","This Bundle Contains: 1 Dogtra 1900S Wetlands Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Black<br><b>Dogtra 1900S Wetlands Remote Trainer</b><br>The Dogtra 1900S - Wetlands dog system has a 100% waterproof collar features a 3/4 mile range with high output stimulation in 1-127 levels, coated in ideal camouflaged pattern for wetland hunting. This dog system has Low to High Power Stimulation and enhanced contact points with 2-hour rapid charge batteries. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Black</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,259.98,259.98,,,,,,,
DogtraBundle-19,DogtraBundle-19,,,,,,,,,,"Dogtra 1900S Wetlands Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Orange","This Bundle Contains: 1 Dogtra 1900S Wetlands Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Orange<br><b>Dogtra 1900S Wetlands Remote Trainer</b><br>The Dogtra 1900S - Wetlands dog system has a 100% waterproof collar features a 3/4 mile range with high output stimulation in 1-127 levels, coated in ideal camouflaged pattern for wetland hunting. This dog system has Low to High Power Stimulation and enhanced contact points with 2-hour rapid charge batteries. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Orange</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,259.98,259.98,,,,,,,
DogtraBundle-20,DogtraBundle-20,,,,,,,,,,"Dogtra 1900S Wetlands Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Blue","This Bundle Contains: 1 Dogtra 1900S Wetlands Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Blue<br><b>Dogtra 1900S Wetlands Remote Trainer</b><br>The Dogtra 1900S - Wetlands dog system has a 100% waterproof collar features a 3/4 mile range with high output stimulation in 1-127 levels, coated in ideal camouflaged pattern for wetland hunting. This dog system has Low to High Power Stimulation and enhanced contact points with 2-hour rapid charge batteries. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Blue</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,259.98,259.98,,,,,,,
DogtraBundle-21,DogtraBundle-21,,,,,,,,,,"Dogtra 1900S Wetlands Remote Trainer Bundle With Dogtra 1"" X 30"" Collar Strap - Green","This Bundle Contains: 1 Dogtra 1900S Wetlands Remote Trainer + 1 Dogtra 1"" X 30"" Collar Strap - Green<br><b>Dogtra 1900S Wetlands Remote Trainer</b><br>The Dogtra 1900S - Wetlands dog system has a 100% waterproof collar features a 3/4 mile range with high output stimulation in 1-127 levels, coated in ideal camouflaged pattern for wetland hunting. This dog system has Low to High Power Stimulation and enhanced contact points with 2-hour rapid charge batteries. The LCD on the handheld transmitter displays the battery life and stimulation level.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Green</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,259.98,259.98,,,,,,,
DogtraBundle-22,DogtraBundle-22,,,,,,,,,,Dogtra 1900S HANDSFREE Remote Trainer with Handsfree Controller Bundle With Dogtra Auto Charger BC10AUTO Car Charger,"This Bundle Contains: 1 Dogtra 1900S HANDSFREE Remote Trainer with Handsfree Controller + 1 Dogtra Auto Charger BC10AUTO Car Charger<br><b>Dogtra 1900S HANDSFREE Remote Trainer with Handsfree Controller</b><br>The Dogtra 1900S-HANDSFREE gives you discrete control while freeing up your harns for multi-tasking. The curved slimline receiver design and wireless finger button, the Dogtra 1900S Handsfree makes the perfect discreet trainer for hunting dogs, K9 professional or anyone looking for discreet control. Designed for mild to stubborn tempered dogs 25lbs and larger. The Unique checkered grips make handling the remote a cinch.<br><br><b>Dogtra Auto Charger BC10AUTO Car Charger</b><br>The Dogtra BC10 Auto is a replacement battery charger for 1902S, 2300, 2500T&B, 3500 series dog training collars.<br>",,299.98,299.98,,,,,,,
DogtraBundle-23,DogtraBundle-23,,,,,,,,,,"Dogtra 1900S HANDSFREE Remote Trainer with Handsfree Controller Bundle With Dogtra 1"" X 30"" Collar Strap - Black","This Bundle Contains: 1 Dogtra 1900S HANDSFREE Remote Trainer with Handsfree Controller + 1 Dogtra 1"" X 30"" Collar Strap - Black<br><b>Dogtra 1900S HANDSFREE Remote Trainer with Handsfree Controller</b><br>The Dogtra 1900S-HANDSFREE gives you discrete control while freeing up your harns for multi-tasking. The curved slimline receiver design and wireless finger button, the Dogtra 1900S Handsfree makes the perfect discreet trainer for hunting dogs, K9 professional or anyone looking for discreet control. Designed for mild to stubborn tempered dogs 25lbs and larger. The Unique checkered grips make handling the remote a cinch.<br><br><b>Dogtra 1"" X 30"" Collar Strap - Black</b><br> Technical Features for Dogtra 1"" X 30"" Collar Strap - A metal rollerbuckle is easy to fasten and the metal D-ring allows for quick connection to the leash.<br>",,279.98,279.98,,,,,,,
